☁  k8s-hyperledger-fabric-2.2 [master] ⚡  docker-compose -f network/docker/docker-compose-ca.yaml up  
Creating network "docker_fabric-ca" with the default driver
Creating org2-ca     ... done
Creating orderers-ca ... done
Creating org1-ca         ... done
Creating org2-client     ... done
Creating orderers-client ... done
Creating org1-client     ... done
Attaching to org2-ca, orderers-ca, org1-ca, org2-client, orderers-client, org1-client
org1-ca            | 2020/12/10 05:22:05 [INFO] Created default configuration file at /etc/hyperledger/fabric-ca-server/fabric-ca-server-config.yaml
org2-client        | 2020/12/10 05:22:16 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-ca            | 2020/12/10 05:22:16 [INFO] 172.23.0.5:52268 POST /register 201 0 "OK"
org2-client        | Password: secret
org2-client        | 2020/12/10 05:22:16 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/Admin@org2/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:16 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:16 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:16 [INFO] signed certificate with serial number 141850057798521110853745518738191059965987613661
org2-ca            | 2020/12/10 05:22:16 [INFO] 172.23.0.5:52270 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:16 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/Admin@org2/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:16 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/Admin@org2/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:16 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/Admin@org2/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:16 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/Admin@org2/msp/IssuerRevocationPublicKey
org2-client        | 2020/12/10 05:22:16 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-ca            | 2020/12/10 05:22:16 [INFO] 172.23.0.5:52272 POST /register 201 0 "OK"
org2-client        | Password: secret
org2-client        | 2020/12/10 05:22:16 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/User1@org2/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:16 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:16 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 401202304991712659158762126553710582935326129901
org2-ca            | 2020/12/10 05:22:17 [INFO] 172.23.0.5:52274 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/User1@org2/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/User1@org2/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/User1@org2/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/User1@org2/msp/IssuerRevocationPublicKey
org2-client        | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/tls/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:17 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 301974616089404551255033983632893902787865172845
org2-ca            | 2020/12/10 05:22:17 [INFO] 172.23.0.5:52276 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/tls/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/tls/msp/tlscacerts/tls-org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/tls/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/tls/msp/IssuerRevocationPublicKey
org2-client        | 2020/12/10 05:22:17 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:17 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:17 [INFO] 172.23.0.5:52278 POST /register 201 0 "OK"
org2-client        | Password: secret
orderers-ca        | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 681347884219701063047858272541170978029781860057
org2-client        | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:17 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:17 [INFO] 172.23.0.6:60670 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:17 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-ca            | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 49571750505826039850997797611081136469563055684
org2-ca            | 2020/12/10 05:22:17 [INFO] 172.23.0.5:52282 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/msp/IssuerRevocationPublicKey
org2-client        | mv: target '/etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer0-org2/msp/keystore/pvt-cert.pem' is not a directory
orderers-ca        | 2020/12/10 05:22:17 [INFO] 172.23.0.6:60674 POST /register 201 0 "OK"
orderers-client    | Password: secret
org2-client        | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/tls/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:17 [INFO] encoded CSR
orderers-client    | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/Admin@orderer/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:17 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 182342436008131658791686996355907658837295040435
orderers-ca        | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 8337671905085503225893544231833055288701050724
org2-ca            | 2020/12/10 05:22:17 [INFO] 172.23.0.5:52286 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/tls/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/tls/msp/tlscacerts/tls-org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/tls/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/tls/msp/IssuerRevocationPublicKey
orderers-ca        | 2020/12/10 05:22:17 [INFO] 172.23.0.6:60678 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/Admin@orderer/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/Admin@orderer/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/Admin@orderer/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/Admin@orderer/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:17 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:17 [INFO] 172.23.0.6:60680 POST /register 201 0 "OK"
orderers-client    | Password: secret
org2-ca            | 2020/12/10 05:22:17 [INFO] 172.23.0.5:52292 POST /register 201 0 "OK"
org2-client        | Password: secret
orderers-client    | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/User1@orderer/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:17 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:17 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:17 [INFO] encoded CSR
org2-client        | 2020/12/10 05:22:17 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:17 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:17 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 364380228920049979773679101724598270912080017259
org2-ca            | 2020/12/10 05:22:17 [INFO] signed certificate with serial number 200439552070591980045699400340691116797054035710
orderers-ca        | 2020/12/10 05:22:17 [INFO] 172.23.0.6:60684 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/User1@orderer/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/User1@orderer/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/User1@orderer/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:17 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/User1@orderer/msp/IssuerRevocationPublicKey
org2-ca            | 2020/12/10 05:22:18 [INFO] 172.23.0.5:52296 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/msp/signcerts/cert.pem
